iter	Passed	Remaining
415	3077	4319
416	3083	4311
417	3089	4301
418	3096	4293
419	3103	4285
420	3112	4280
421	3118	4271
422	3127	4266
423	3134	4258
424	3140	4249
425	3147	4240
426	3154	4232
427	3160	4223
428	3167	4216
429	3174	4207
430	3181	4200
431	3190	4195
432	3197	4186
433	3203	4177
434	3210	4169
435	3217	4161
436	3224	4153
437	3230	4145
438	3237	4137
439	3243	4128
440	3250	4119
441	3256	4111
442	3264	4104
443	3270	4096
444	3279	4090
445	3286	4081
446	3294	4075
447	3300	4066
448	3309	4060
449	3315	4052
450	3322	4045
451	3329	4036
452	3336	4028
453	3344	4022
454	3350	4013
455	3359	4007
456	3365	3998
457	3373	3992
458	3379	3983
459	3386	3975
460	3393	3967
461	3399	3958
462	3405	3949
463	3411	3941
464	3418	3933
465	3426	3926
466	3433	3918
467	3441	3912
468	3449	3905
469	3455	3896
470	3461	3887
471	3468	3880
472	3474	3871
473	3481	3863
474	3489	3856
475	3495	3848
476	3502	3839
477	3508	3830
478	3515	3823
479	3522	3816
480	3529	3808
481	3535	3799
482	3541	3790
483	3548	3783
484	3555	3775
485	3562	3767
486	3567	3758
487	3573	3749
488	3580	3741
489	3588	3735
490	3595	3727
491	3601	3718
492	3607	3710
493	3613	3701
494	3620	3693
495	3627	3685
496	3633	3677
497	3639	3668
498	3646	3660
499	3653	3653
500	3659	3645
501	3665	3636
502	3672	3628
503	3678	3619
504	3684	3611
505	3691	3604
506	3698	3595
507	3704	3587
508	3710	3579
509	3716	3570
510	3722	3562
511	3729	3554
512	3735	3546
513	3742	3539
514	3749	3530
515	3755	3523
516	3762	3515
517	3769	3507
518	3776	3499
519	3782	3491
520	3789	3484
521	3796	3476
522	3802	3468
523	3809	3460
524	3816	3452
525	3823	3445
526	3829	3437
527	3836	3429
528	3843	3421
529	3849	3413
530	3856	3405
531	3862	3398
532	3869	3390
533	3876	3383
534	3882	3374
535	3889	3367
536	3896	3359
537	3902	3351
538	3909	3343
539	3915	3335
540	3922	3327
541	3928	3319
542	3934	3311
543	3940	3303
544	3947	3295
545	3953	3287
546	3960	3279
547	3966	3272
548	3973	3264
549	3979	3256
550	3986	3248
551	3992	3240
552	3999	3232
553	4006	3225
554	4012	3217
555	4018	3208
556	4024	3200
557	4031	3193
558	4039	3186
559	4045	3178
560	4051	3170
561	4057	3162
562	4064	3154
563	4071	3147
564	4078	3140
565	4086	3133
566	4092	3125
567	4098	3117
568	4105	3109
569	4112	3102
570	4118	3094
571	4124	3086
572	4131	3078
573	4138	3071
574	4144	3063
575	4151	3056
576	4158	3048
577	4164	3040
578	4171	3032
579	4180	3027
580	4186	3019
581	4193	3012
582	4201	3005
583	4208	2997
584	4214	2989
585	4220	2981
586	4226	2973
587	4233	2966
588	4241	2959
589	4249	2953
590	4257	2946
591	4264	2939
592	4271	2931
593	4279	2924
594	4285	2917
595	4293	2910
596	4300	2902
597	4307	2895
598	4313	2887
599	4320	2880
600	4327	2873
601	4334	2865
602	4341	2858
603	4347	2850
604	4354	2843
605	4361	2835
606	4368	2828
607	4374	2820
608	4380	2812
609	4386	2804
610	4393	2797
611	4399	2789
612	4407	2782
613	4416	2776
614	4424	2769
615	4431	2762
616	4438	2755
617	4444	2747
618	4451	2739
619	4457	2732
620	4463	2724
621	4471	2717
622	4477	2709
623	4483	2701
624	4489	2693
625	4496	2686
626	4504	2679
627	4511	2672
628	4519	2665
629	4525	2658
630	4532	2650
631	4538	2642
632	4545	2635
633	4551	2627
634	4557	2619
635	4564	2612
636	4570	2604
637	4577	2597
638	4584	2589
639	4590	2582
640	4597	2574
641	4603	2567
642	4610	2559
643	4617	2552
644	4623	2544
645	4630	2537
646	4637	2529
647	4643	2522
648	4649	2514
649	4660	2509
650	4666	2501
651	4672	2494
652	4679	2486
653	4685	2478
654	4692	2471
